solar,hum,rain,press,temp,count
1.427,88.3,0.0,978.0,11.84,3.4316744569700304
2.604,86.1,0.0,976.0,12.82,3.4987627165246082
20.58,87.3,0.0,975.0,13.27,3.508259911894273
21.39,85.8,0.0,974.0,13.34,3.5093560814529443
11.88,92.2,1.2,973.0,12.5,3.4822984749455337
44.63,96.0,0.0,978.0,7.711,3.4984869325997248
43.46,90.4,0.0,980.0,8.0,3.475653370013755
35.51,88.4,0.0,981.0,8.5,3.4477977161500815
11.67,84.8,0.0,981.0,8.74,3.3512286324786325
83.3,81.0,0.0,1014.0,12.7,3.6407640949554896
1.582,74.2,0.0,1007.0,12.11,nan
2.737,90.9,0.0,1011.0,12.21,nan
113.8,78.16,0.0,988.0,6.723,3.453060285319834
140.8,73.89,0.0,989.0,7.731,3.3985726049958824
68.47,71.75,0.0,990.0,7.143,3.4305746494363487
7.271,81.8,0.0,992.0,5.503,3.435918591859186
3.359,88.2,0.0,993.0,4.092,3.399396929824561
2.971,92.1,0.0,994.0,3.22,3.391280353200883
3.991,91.6,0.0,996.0,2.884,3.4063964709126
1.98,90.0,0.0,997.0,3.203,3.40323908866319
2.633,92.3,0.2,998.0,3.469,3.4129120879120878
1.893,96.7,0.0,999.0,3.241,3.3421633554083887
2.948,94.7,0.0,1000.0,4.263,3.3547232167446985
3.362,96.2,0.0,1001.0,3.389,3.4009914624070503
2.864,97.2,0.0,1002.0,2.922,3.3713658804168953
3.076,97.1,0.0,1003.0,2.386,3.3854425144747724
2.824,96.6,0.0,1004.0,2.283,3.378921298844249
3.891,96.7,0.0,1005.0,2.221,3.3979591836734695
3.983,97.9,0.0,1006.0,1.999,3.369690326116744
2.528,98.4,0.0,1007.0,1.432,3.3895172413793104
3.731,98.3,0.0,1008.0,1.207,3.357142857142857
5.099,98.5,0.0,1009.0,0.991,3.3380010982976387
62.5,97.1,0.0,1009.0,1.907,3.345349477160154
137.4,83.1,0.0,1010.0,4.053,3.3457300275482096
152.6,87.4,0.0,1010.0,4.584,3.435501653803749
100.4,91.3,0.0,1010.0,5.04,3.3514034122179415
86.7,93.4,0.0,1010.0,5.078,3.3700440528634363
73.28,93.7,0.0,1010.0,5.12,3.3532653623587767
32.49,93.3,0.0,1010.0,4.779,3.365363436123348
3.878,92.5,0.0,1011.0,4.544,3.3249931262029144
2.801,90.5,0.0,1011.0,4.422,3.3592500689274885
2.68,87.9,0.0,1011.0,4.456,3.3488436123348015
2.809,85.5,0.0,1011.0,4.503,3.2745800055081244
2.094,82.5,0.0,1011.0,4.755,3.3618021006080707
3.186,82.8,0.0,1010.0,4.764,3.282291379785183
2.799,85.4,0.0,1010.0,4.802,3.361003861003861
2.78,86.1,0.0,1010.0,4.839,3.383107921611924
2.561,87.2,0.0,1009.0,4.689,3.433545178226029
2.57,81.1,0.0,1009.0,4.945,3.2935653134493235
3.444,86.0,0.0,1008.0,4.48,3.361988464707498
3.063,88.7,0.0,1007.0,4.19,3.388215859030837
2.866,89.5,0.0,1006.0,4.152,3.280735455543359
2.635,91.8,0.2,1005.0,4.185,3.360417238539665
3.055,92.8,0.2,1003.0,4.18,3.3271876719867914
3.099,92.5,0.2,1002.0,4.399,3.4013736263736263
3.025,93.4,0.6,1001.0,4.621,3.3757909215955983
6.326,93.3,0.2,1001.0,4.836,3.3163405896941307
14.99,93.3,0.4,1000.0,5.136,3.350896551724138
26.59,92.5,0.2,999.0,5.704,3.3945409429280398
35.36,93.7,0.2,997.0,5.965,3.411086717892426
13.81,93.9,0.6,996.0,6.629,3.4584251101321586
12.19,94.6,0.6,995.0,6.795,3.4287286736378646
5.859,96.8,0.0,995.0,7.626,3.440981798124655
3.83,97.2,0.0,995.0,8.92,3.4936569222283507
2.618,98.3,0.0,995.0,9.12,3.512799339388935
2.897,98.7,0.0,996.0,9.3,3.444995864350703
2.68,99.0,0.0,996.0,9.25,3.446187723644371
3.004,99.1,0.0,997.0,9.18,3.4401768444321634
2.991,99.3,0.0,997.0,8.94,3.562379509776921
2.845,99.3,0.0,998.0,8.92,3.6139240506329116
2.725,99.2,0.0,998.0,8.75,3.6131427000274954
2.795,99.3,0.0,999.0,8.69,3.714951989026063
2.993,99.3,0.2,999.0,8.66,3.6109884041965765
2.999,99.3,0.0,999.0,8.5,3.6856435643564356
2.768,99.4,0.0,999.0,8.43,3.6990956426418196
2.719,99.4,0.0,999.0,8.43,3.638965327462851
2.323,99.5,0.0,999.0,9.04,3.7168774051676747
3.022,99.5,0.0,998.0,9.04,3.7355848434925867
2.622,99.1,0.0,998.0,9.34,3.7537702221003566
2.913,98.6,0.2,998.0,9.65,3.674794520547945
6.738,98.4,0.2,998.0,9.63,3.710216379074226
nan,nan,nan,nan,nan,3.5130434782608697
nan,nan,nan,nan,nan,3.5775675675675678
nan,nan,nan,nan,nan,3.586891487625782
nan,nan,nan,nan,nan,3.538939967550027
nan,nan,nan,nan,nan,3.588331515812432
nan,nan,nan,nan,nan,3.518085395703019
nan,nan,nan,nan,nan,3.5765153574340856
nan,nan,nan,nan,nan,3.6016260162601625
nan,nan,nan,nan,nan,3.5216450216450217
nan,nan,nan,nan,nan,3.627621901389267
nan,nan,nan,nan,nan,3.5118046132971505
nan,nan,nan,nan,nan,3.532414910858995
nan,nan,nan,nan,nan,3.604816639299398
nan,nan,nan,nan,nan,3.573704103671706
nan,nan,nan,nan,nan,3.545182362547632
nan,nan,nan,nan,nan,3.585022979183563
nan,nan,nan,nan,nan,3.5063737455926227
nan,nan,nan,nan,nan,3.530744336569579
nan,nan,nan,nan,nan,3.595251091703057
nan,nan,nan,nan,nan,3.6068144943212546
nan,nan,nan,nan,nan,3.567844618289722
nan,nan,nan,nan,nan,3.6033640803038525
nan,nan,nan,nan,nan,3.6365368908249387
nan,nan,nan,nan,nan,3.6335857220118983
nan,nan,nan,nan,nan,3.6784940411700977
nan,nan,nan,nan,nan,3.6301295896328294
